No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
742,CLGX,"CoreLogic, Inc.",Technology,Information Technology Services,USA,5.43B,33.98,68.96,0.12%,"62,299"
744,CLI,Mack-Cali Realty Corporation,Real Estate,REIT - Office,USA,1.19B,-,12.35,-3.44%,"119,970"
746,CLLS,Cellectis S.A.,Healthcare,Biotechnology,France,830.24M,-,19.40,-4.15%,"27,726"
748,CLNE,Clean Energy Fuels Corp.,Energy,Oil & Gas Refining & Marketing,USA,522.54M,17.72,2.69,2.04%,"344,223"
750,CLOU,Global X Cloud Computing ETF Global X Cloud Computing ETF,Financial,Exchange Traded Fund,USA,-,-,26.30,1.19%,"524,878"
752,CLS,Celestica Inc.,Technology,Electronic Components,Canada,979.61M,-,7.14,-2.33%,"70,357"
754,CLSK,"CleanSpark, Inc.",Technology,Software - Infrastructure,USA,166.19M,-,10.10,-0.44%,"740,303"
756,CLVS,"Clovis Oncology, Inc.",Healthcare,Biotechnology,USA,502.81M,-,5.72,3.23%,"907,890"
758,CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,USA,26.90B,29.32,219.68,1.98%,"497,728"
760,CMA,Comerica Incorporated,Financial,Banks - Regional,USA,6.06B,10.29,41.59,-2.83%,"167,756"
761,CMC,Commercial Metals Company,Basic Materials,Steel,USA,2.78B,9.42,22.86,-1.55%,"150,537"
763,CMCO,Columbus McKinnon Corporation,Industrials,Farm & Heavy Construction Machinery,USA,883.09M,23.44,36.66,-1.82%,"10,232"
765,CMD,Cantel Medical Corp.,Healthcare,Medical Instruments & Supplies,USA,1.99B,694.12,45.55,-3.50%,"21,141"
767,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,USA,35.76B,141.95,1322.36,3.40%,"150,735"
769,CMO,Capstead Mortgage Corporation,Real Estate,REIT - Mortgage,USA,576.90M,-,5.84,-1.02%,"47,452"
771,CMPR,Cimpress plc,Communication Services,Advertising Agencies,Ireland,2.30B,-,85.65,-3.20%,"8,738"
773,CMRX,"Chimerix, Inc.",Healthcare,Biotechnology,USA,176.77M,-,3.00,2.39%,"38,096"
775,CMTL,Comtech Telecommunications Corp.,Technology,Communication Equipment,USA,388.22M,58.13,16.10,-2.15%,"34,350"
777,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,38.12B,22.86,65.44,0.22%,"870,941"
779,CNDT,Conduent Incorporated,Technology,Information Technology Services,USA,740.52M,-,3.56,-1.93%,"232,964"
762,CMCM,Cheetah Mobile Inc.,Technology,Software - Application,China,274.07M,1.29,2.00,1.01%,"27,167"
764,CMCSA,Comcast Corporation,Communication Services,Entertainment,USA,212.20B,18.44,45.62,-0.82%,"2,952,673"
766,CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges,USA,61.50B,25.65,168.06,-1.14%,"213,682"
768,CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,USA,32.41B,19.76,219.50,-1.01%,"180,066"
770,CMP,"Compass Minerals International, Inc.",Basic Materials,Other Industrial Metals & Mining,USA,2.17B,23.04,62.81,-1.32%,"28,519"
772,CMRE,Costamare Inc.,Industrials,Marine Shipping,Monaco,809.52M,-,6.50,-1.96%,"111,848"
774,CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,18.50B,25.72,64.36,-1.11%,"197,661"
776,CNA,CNA Financial Corporation,Financial,Insurance - Property & Casualty,USA,8.56B,18.13,30.44,-2.65%,"19,813"
778,CNCE,"Concert Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,339.26M,-,11.44,1.33%,"16,052"
780,CNET,"ChinaNet Online Holdings, Inc.",Communication Services,Advertising Agencies,China,33.07M,-,1.46,4.80%,"93,327"
781,CNHI,CNH Industrial N.V.,Industrials,Farm & Heavy Construction Machinery,United Kingdom,11.18B,10.98,8.41,0.00%,"338,169"
783,CNK,"Cinemark Holdings, Inc.",Communication Services,Entertainment,USA,1.05B,-,7.72,-10.14%,"8,232,514"
785,CNNE,"Cannae Holdings, Inc.",Consumer Cyclical,Restaurants,USA,3.64B,2.59,39.90,-1.70%,"34,596"
787,CNOB,"ConnectOne Bancorp, Inc.",Financial,Banks - Regional,USA,649.72M,9.33,15.44,-4.16%,"4,096"
789,CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas E&P,Canada,21.29B,1058.82,17.88,-0.69%,"1,112,231"
791,CNS,"Cohen & Steers, Inc.",Financial,Asset Management,USA,2.85B,24.25,58.96,-1.36%,"7,443"
793,CNST,"Constellation Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1.14B,-,23.51,-2.41%,"114,920"
795,CNX,CNX Resources Corporation,Energy,Oil & Gas E&P,USA,2.39B,-,10.72,-0.56%,"514,048"
797,CNXT,VanEck Vectors ChinaAMC SME-ChiNext ETF,Financial,Exchange Traded Fund,USA,-,-,43.84,0.55%,"4,481"
799,CO,Global Cord Blood Corporation,Healthcare,Diagnostics & Research,Hong Kong,450.14M,5.87,3.49,-0.85%,"27,893"
782,CNI,Canadian National Railway Company,Industrials,Railroads,Canada,78.10B,30.11,110.37,-0.44%,"204,743"
784,CNMD,CONMED Corporation,Healthcare,Medical Devices,USA,2.43B,-,84.81,-2.41%,"40,282"
786,CNO,"CNO Financial Group, Inc.",Financial,Insurance - Life,USA,2.58B,7.26,17.92,-2.45%,"194,646"
788,CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Gas,USA,11.75B,-,21.32,-1.37%,"1,179,105"
790,CNR,"Cornerstone Building Brands, Inc.",Industrials,Building Products & Equipment,USA,1.24B,-,9.52,-1.75%,"144,081"
792,CNSL,"Consolidated Communications Holdings, Inc.",Communication Services,Telecom Services,USA,433.08M,18.55,5.85,-2.66%,"72,343"
794,CNTY,"Century Casinos, Inc.",Consumer Cyclical,Resorts & Casinos,USA,165.31M,-,5.31,-2.03%,"62,726"
796,CNXN,"PC Connection, Inc.",Technology,Electronics & Computer Distribution,USA,1.14B,17.17,44.66,0.88%,"2,883"
798,CNYA,iShares MSCI China A ETF,Financial,Exchange Traded Fund,USA,-,-,38.73,0.00%,"74,342"
800,CODI,Compass Diversified,Industrials,Conglomerates,USA,1.27B,-,19.50,0.70%,"57,680"
801,CODX,"Co-Diagnostics, Inc.",Healthcare,Diagnostics & Research,USA,399.16M,78.56,14.63,2.88%,"568,195"
803,COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,USA,7.62B,24.77,19.50,-0.36%,"1,691,237"
805,COHU,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials,USA,799.60M,-,20.10,0.65%,"10,642"
807,COLD,Americold Realty Trust,Real Estate,REIT - Industrial,USA,7.78B,75.83,38.49,-1.64%,"859,865"
809,COLM,Columbia Sportswear Company,Consumer Cyclical,Apparel Manufacturing,USA,6.10B,34.44,92.41,-1.25%,"67,402"
811,CONE,CyrusOne Inc.,Real Estate,REIT - Specialty,USA,9.43B,482.29,79.39,-0.84%,"90,610"
813,COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,USA,19.07B,65.90,355.01,-1.56%,"26,737"
815,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,38.61B,17.46,35.10,-1.36%,"1,776,671"
817,CORE,"Core-Mark Holding Company, Inc.",Consumer Defensive,Food Distribution,USA,1.34B,22.56,29.85,0.98%,"24,362"
819,CORR,"CorEnergy Infrastructure Trust, Inc.",Real Estate,REIT - Diversified,USA,85.72M,-,5.86,-2.66%,"54,229"
802,COF,Capital One Financial Corporation,Financial,Credit Services,USA,36.90B,-,79.55,-1.07%,"633,188"
804,COHR,"Coherent, Inc.",Technology,Scientific & Technical Instruments,USA,2.75B,-,117.55,0.69%,"17,379"
806,COLB,"Columbia Banking System, Inc.",Financial,Banks - Regional,USA,1.93B,12.89,25.65,-3.55%,"31,966"
808,COLL,"Collegium Pharmaceutical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,737.71M,-,21.82,0.51%,"28,122"
810,COMM,"CommScope Holding Company, Inc.",Technology,Communication Equipment,USA,1.87B,-,9.03,-2.17%,"878,686"
812,CONN,"Conn's, Inc.",Consumer Cyclical,Specialty Retail,USA,366.51M,-,12.90,0.31%,"85,618"
814,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,2.14B,5.08,23.86,0.76%,"80,673"
816,COR,CoreSite Realty Corporation,Real Estate,REIT - Office,USA,5.52B,65.40,127.92,-0.96%,"25,645"
818,CORN,Teucrium Corn Fund,Financial,Exchange Traded Fund,USA,-,-,13.35,0.41%,"181,759"
820,CORT,Corcept Therapeutics Incorporated,Healthcare,Biotechnology,USA,2.11B,19.61,18.46,1.10%,"102,594"
821,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,164.16B,41.77,379.85,0.90%,"403,279"
823,COUP,Coupa Software Incorporated,Technology,Software - Application,USA,20.23B,-,314.27,2.38%,"219,103"
825,COWN,Cowen Inc.,Financial,Capital Markets,USA,601.80M,5.17,18.37,-1.34%,"47,720"
827,CP,Canadian Pacific Railway Limited,Industrials,Railroads,Canada,42.81B,25.35,318.91,0.97%,"80,983"
829,CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,USA,14.83B,25.20,49.28,0.33%,"281,106"
831,CPF,Central Pacific Financial Corp.,Financial,Banks - Regional,USA,420.11M,8.89,14.26,-3.13%,"18,002"
833,CPK,Chesapeake Utilities Corporation,Utilities,Utilities - Regulated Gas,USA,1.48B,23.34,88.79,-0.67%,"9,354"
835,CPLP,Capital Product Partners L.P.,Industrials,Marine Shipping,Greece,139.27M,-,7.53,1.73%,"79,107"
837,CPRT,"Copart, Inc.",Industrials,Specialty Business Services,USA,27.34B,39.92,117.06,-0.03%,"180,907"
839,CPS,Cooper-Standard Holdings Inc.,Consumer Cyclical,Auto Parts,USA,280.57M,-,15.90,-2.75%,"32,304"
822,COTY,Coty Inc.,Consumer Defensive,Household & Personal Products,USA,2.73B,-,3.31,-2.36%,"2,251,297"
824,COW,iPath Series B Bloomberg Livestock Subindex Total Return ETN,Financial,Exchange Traded Fund,USA,-,-,34.24,-0.13%,"1,065"
826,COWZ,Pacer US Cash Cows 100 ETF,Financial,Exchange Traded Fund,USA,-,-,29.58,-0.59%,"9,468"
828,CPA,"Copa Holdings, S.A.",Industrials,Airlines,Panama,2.19B,-,51.59,-0.69%,"93,856"
830,CPE,Callon Petroleum Company,Energy,Oil & Gas E&P,USA,211.78M,-,4.90,-2.78%,"1,081,414"
832,CPG,Crescent Point Energy Corp.,Energy,Oil & Gas E&P,Canada,715.14M,-,1.32,-2.22%,"309,396"
834,CPLG,CorePoint Lodging Inc.,Real Estate,REIT - Hotel & Motel,USA,332.10M,-,5.34,-4.47%,"30,942"
836,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,United Kingdom,3.17B,-,20.69,-4.39%,"935,437"
838,CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,334.14M,8.24,3.26,1.24%,"357,160"
840,CPSI,"Computer Programs and Systems, Inc.",Healthcare,Health Information Services,USA,412.84M,19.38,28.81,0.84%,"3,981"
841,CPSS,"Consumer Portfolio Services, Inc.",Financial,Credit Services,USA,105.29M,7.07,4.51,-2.59%,"86,991"
843,CPTA,Capitala Finance Corp.,Financial,Asset Management,USA,25.73M,-,9.44,-0.53%,"2,255"
845,CR,Crane Co.,Industrials,Specialty Industrial Machinery,USA,3.09B,87.89,52.63,-1.35%,"43,649"
847,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Healthcare,Biotechnology,USA,95.47M,-,1.13,-0.44%,"759,254"
849,CRDF,"Cardiff Oncology, Inc.",Healthcare,Biotechnology,USA,500.20M,-,16.34,-1.15%,"304,960"
851,CRESY,Cresud SACIF y A ADR,Consumer Defensive,Farm Products,Argentina,316.72M,-,3.10,-0.96%,"41,877"
853,CRI,"Carter's, Inc.",Consumer Cyclical,Apparel Retail,USA,3.73B,34.44,85.76,-1.27%,"79,632"
855,CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P,USA,1.26B,-,5.64,-1.14%,"312,194"
857,CRM,"salesforce.com, inc.",Technology,Software - Application,USA,237.77B,684.79,266.67,-0.15%,"1,001,341"
859,CRMT,"America's Car-Mart, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,641.46M,11.59,94.71,0.99%,"5,849"
842,CPT,Camden Property Trust,Real Estate,REIT - Residential,USA,9.63B,49.05,96.20,-0.95%,"130,281"
844,CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream,USA,17.15B,13.25,35.33,-0.48%,"11,669"
846,CRAI,"CRA International, Inc.",Industrials,Consulting Services,USA,318.40M,14.32,40.19,-1.54%,"1,503"
848,CRD-A,Crawford & Company,Financial,Insurance Brokers,USA,208.37M,-,6.76,-0.59%,592
850,CREE,"Cree, Inc.",Technology,Semiconductors,USA,7.52B,-,70.23,1.71%,"164,765"
852,CRH,CRH plc,Basic Materials,Building Materials,Ireland,31.11B,18.19,38.75,-2.20%,"91,719"
854,CRIS,"Curis, Inc.",Healthcare,Biotechnology,USA,65.67M,-,1.24,1.23%,"53,308"
856,CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,USA,11.78B,44.78,243.42,0.06%,"27,606"
858,CRMD,CorMedix Inc.,Healthcare,Biotechnology,USA,184.94M,-,5.99,1.18%,"58,152"
860,CRNC,Cerence Inc.,Technology,Software - Application,USA,2.00B,30.12,55.21,-1.89%,"173,604"
861,CRNT,Ceragon Networks Ltd.,Technology,Communication Equipment,Israel,218.44M,-,2.63,-0.94%,"249,168"
863,CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,2.06B,3.02,5.74,-2.80%,"1,270,193"
865,CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,USA,917.85M,861.82,18.41,-2.90%,"48,437"
867,CRTO,Criteo S.A.,Communication Services,Advertising Agencies,France,765.30M,9.95,12.82,0.94%,"26,198"
869,CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,USA,4.17B,25.46,73.02,-0.08%,"79,306"
871,CRVS,"Corvus Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,111.33M,-,4.04,3.06%,"102,810"
873,CRWS,"Crown Crafts, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,60.01M,8.92,5.80,-1.26%,"3,339"
875,CS,Credit Suisse Group AG,Financial,Banks - Diversified,Switzerland,26.22B,5.87,10.51,-0.99%,"753,665"
877,CSD,Invesco S&P Spin-Off ETF,Financial,Exchange Traded Fund,USA,-,-,45.49,-1.49%,172
879,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,1.39B,17.90,41.78,-0.48%,"15,300"
862,CROC,ProShares UltraShort Australian Dollar,Financial,Exchange Traded Fund,USA,-,-,52.24,2.01%,873
864,CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,USA,3.23B,27.20,48.17,-0.74%,"166,410"
866,CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology,Switzerland,6.77B,212.85,98.19,-1.22%,"286,326"
868,CRTX,"Cortexyme, Inc.",Healthcare,Biotechnology,USA,1.50B,-,51.00,0.06%,"5,125"
870,CRVL,CorVel Corporation,Financial,Insurance Brokers,USA,1.61B,39.24,88.50,-1.52%,"4,565"
872,CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,USA,31.90B,-,152.95,4.79%,"2,776,281"
874,CRY,"CryoLife, Inc.",Healthcare,Medical Devices,USA,729.17M,-,19.63,-1.31%,"32,850"
876,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,170.60B,15.31,39.95,-1.02%,"4,778,481"
878,CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,USA,34.52B,108.64,882.98,0.08%,"22,819"
880,CSII,"Cardiovascular Systems, Inc.",Healthcare,Medical Devices,USA,1.48B,-,37.15,-0.87%,"34,233"
881,CSIQ,Canadian Solar Inc.,Technology,Solar,Canada,2.12B,8.82,39.61,4.65%,"1,067,239"
883,CSLT,"Castlight Health, Inc.",Healthcare,Health Information Services,USA,152.18M,-,1.04,2.97%,"43,040"
885,CSPR,Casper Sleep Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,287.13M,-,7.10,-0.42%,"57,149"
887,CSTL,"Castle Biosciences, Inc.",Healthcare,Diagnostics & Research,USA,1.06B,138.86,54.68,-0.31%,"44,414"
889,CSU,Capital Senior Living Corporation,Healthcare,Medical Care Facilities,USA,20.13M,-,0.64,2.64%,"6,043"
891,CSWC,Capital Southwest Corporation,Financial,Asset Management,USA,265.62M,-,14.15,-0.67%,"4,720"
893,CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,36.67B,38.52,349.08,0.02%,"72,785"
895,CTBI,"Community Trust Bancorp, Inc.",Financial,Banks - Regional,USA,569.99M,9.81,30.98,-2.55%,"4,280"
897,CTIC,CTI BioPharma Corp.,Healthcare,Biotechnology,USA,214.24M,-,3.10,0.65%,"592,002"
899,CTMX,"CytomX Therapeutics, Inc.",Healthcare,Biotechnology,USA,320.31M,-,6.84,-0.15%,"51,811"
882,CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,USA,7.08B,19.19,126.87,-1.51%,"23,178"
884,CSOD,"Cornerstone OnDemand, Inc.",Technology,Software - Application,USA,2.44B,-,37.45,-0.40%,"61,867"
886,CSTE,Caesarstone Ltd.,Industrials,Building Products & Equipment,Israel,412.42M,114.43,11.99,-1.15%,"6,011"
888,CSTM,Constellium SE,Basic Materials,Aluminum,France,1.17B,-,8.76,-0.57%,"69,792"
890,CSV,"Carriage Services, Inc.",Consumer Cyclical,Personal Services,USA,429.39M,81.86,23.69,-1.90%,"14,913"
892,CSX,CSX Corporation,Industrials,Railroads,USA,60.27B,21.39,80.39,1.04%,"1,223,070"
894,CTB,Cooper Tire & Rubber Company,Consumer Cyclical,Auto Parts,USA,1.78B,28.76,35.43,-2.15%,"24,545"
896,CTG,"Computer Task Group, Incorporated",Technology,Information Technology Services,USA,71.73M,12.30,4.71,0.00%,"1,984"
898,CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,15.30B,86.85,95.05,0.04%,"257,775"
900,CTRA,"Contura Energy, Inc.",Energy,Thermal Coal,USA,158.32M,-,7.81,-2.38%,"7,573"
901,CTRE,"CareTrust REIT, Inc.",Real Estate,REIT - Healthcare Facilities,USA,1.81B,36.67,18.24,-2.46%,"63,339"
903,CTS,CTS Corporation,Technology,Electronic Components,USA,809.51M,38.39,24.82,-1.00%,"10,759"
905,CTSO,Cytosorbents Corporation,Healthcare,Medical Devices,USA,352.08M,-,8.69,4.83%,"140,878"
907,CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,USA,24.32B,53.92,33.61,0.06%,"1,335,955"
909,CUB,Cubic Corporation,Industrials,Aerospace & Defense,USA,1.88B,-,57.36,-2.86%,"54,596"
911,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,USA,416.15M,6.19,12.64,-1.86%,"14,404"
913,CUK,Carnival Corporation & Plc,Consumer Cyclical,Leisure,USA,12.58B,-,12.27,-6.37%,"915,833"
915,CURE,Direxion Daily Healthcare Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,68.02,-1.83%,"20,143"
917,CUTR,"Cutera, Inc.",Healthcare,Medical Devices,USA,362.91M,-,20.67,3.64%,"52,038"
919,CVA,Covanta Holding Corporation,Industrials,Waste Management,USA,1.10B,-,8.06,-1.65%,"72,364"
902,CTRN,"Citi Trends, Inc.",Consumer Cyclical,Apparel Retail,USA,290.37M,42.51,27.21,-0.29%,"25,260"
904,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,40.37B,25.23,73.55,-1.45%,"971,091"
906,CTT,"CatchMark Timber Trust, Inc.",Real Estate,REIT - Specialty,USA,441.30M,-,8.69,-2.23%,"24,419"
908,CTXS,"Citrix Systems, Inc.",Technology,Software - Application,USA,17.44B,24.55,142.87,-1.64%,"335,422"
910,CUBE,CubeSmart,Real Estate,REIT - Industrial,USA,6.71B,41.78,34.11,-1.39%,"234,856"
912,CUE,"Cue Biopharma, Inc.",Healthcare,Biotechnology,USA,465.58M,-,15.76,-1.87%,"49,428"
914,CULP,"Culp, Inc.",Consumer Cyclical,Textile Manufacturing,USA,169.07M,-,13.77,-1.29%,595
916,CURO,CURO Group Holdings Corp.,Financial,Credit Services,USA,341.77M,3.45,8.19,-2.67%,"14,322"
918,CUZ,Cousins Properties Incorporated,Real Estate,REIT - Office,USA,4.41B,13.05,28.69,-2.61%,"120,398"
920,CVAC,CureVac N.V.,Healthcare,Biotechnology,Germany,9.91B,-,54.93,0.90%,"98,719"
921,CVBF,CVB Financial Corp.,Financial,Banks - Regional,USA,2.47B,13.95,17.72,-2.96%,"30,373"
923,CVCY,Central Valley Community Bancorp,Financial,Banks - Regional,USA,166.70M,9.16,13.26,-1.04%,"4,503"
925,CVEO,Civeo Corporation,Industrials,Specialty Business Services,USA,116.31M,-,0.66,-3.39%,"63,094"
927,CVGI,"Commercial Vehicle Group, Inc.",Consumer Cyclical,Auto Parts,USA,223.73M,-,6.75,3.85%,"97,167"
929,CVI,"CVR Energy, Inc.",Energy,Oil & Gas Refining & Marketing,USA,1.32B,18.23,12.42,-3.50%,"177,554"
931,CVLT,"Commvault Systems, Inc.",Technology,Software - Application,USA,2.04B,618.89,43.95,-1.36%,"32,814"
933,CVNA,Carvana Co.,Consumer Cyclical,Internet Retail,USA,35.84B,-,218.18,4.14%,"866,928"
935,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,141.43B,-,73.11,-1.88%,"2,147,935"
937,CW,Curtiss-Wright Corporation,Industrials,Specialty Industrial Machinery,USA,4.10B,16.56,96.38,-2.19%,"40,457"
939,CWCO,Consolidated Water Co. Ltd.,Utilities,Utilities - Regulated Water,Cayman Islands,168.43M,31.73,10.89,-0.82%,"10,413"
922,CVCO,"Cavco Industries, Inc.",Consumer Cyclical,Residential Construction,USA,1.71B,24.72,184.07,-1.92%,"5,782"
924,CVE,Cenovus Energy Inc.,Energy,Oil & Gas Integrated,Canada,5.07B,-,3.94,-2.23%,"950,866"
926,CVET,"Covetrus, Inc.",Healthcare,Health Information Services,USA,2.95B,-,24.91,-2.31%,"99,986"
928,CVGW,"Calavo Growers, Inc.",Consumer Defensive,Packaged Foods,USA,1.22B,-,68.60,-0.63%,"56,104"
930,CVLG,"Covenant Logistics Group, Inc.",Industrials,Trucking,USA,322.60M,-,18.33,-0.05%,"3,856"
932,CVM,CEL-SCI Corporation,Healthcare,Biotechnology,USA,571.28M,-,14.87,0.47%,"16,731"
934,CVS,CVS Health Corporation,Healthcare,Healthcare Plans,USA,79.56B,9.48,59.39,-0.55%,"1,418,221"
936,CVY,Invesco Zacks Multi-Asset Income ETF,Financial,Exchange Traded Fund,USA,-,-,17.23,-0.84%,"1,341"
938,CWB,SPDR Bloomberg Barclays Convertible Securities ETF,Financial,Exchange Traded Fund,USA,-,-,72.24,0.32%,"162,373"
940,CWEB,Direxion Daily CSI China Internet Bull 2X Shares,Financial,Exchange Traded Fund,USA,-,-,55.80,-1.10%,"16,939"
941,CWEN,"Clearway Energy, Inc.",Utilities,Utilities - Renewable,USA,2.42B,64.61,29.54,-1.47%,"121,097"
943,CWH,"Camping World Holdings, Inc.",Consumer Cyclical,Recreational Vehicles,USA,2.72B,-,31.84,4.20%,"431,661"
945,CWK,Cushman & Wakefield plc,Real Estate,Real Estate Services,USA,2.74B,-,11.82,-3.76%,"69,877"
947,CWT,California Water Service Group,Utilities,Utilities - Regulated Water,USA,2.30B,-,45.85,-1.26%,"17,293"
949,CXDC,China XD Plastics Company Limited,Consumer Cyclical,Auto Parts,China,81.85M,-,1.17,0.80%,614
951,CXP,"Columbia Property Trust, Inc.",Real Estate,REIT - Office,USA,1.36B,-,11.41,-4.04%,"53,341"
953,CYB,WisdomTree Chinese Yuan Strategy Fund,Financial,Exchange Traded Fund,USA,-,-,26.49,0.50%,"1,565"
955,CYCN,"Cyclerion Therapeutics, Inc.",Healthcare,Biotechnology,USA,233.38M,-,6.88,0.58%,"37,151"
957,CYH,"Community Health Systems, Inc.",Healthcare,Medical Care Facilities,USA,519.83M,-,4.41,-3.71%,"706,424"
959,CYTK,"Cytokinetics, Incorporated",Healthcare,Biotechnology,USA,1.16B,-,16.00,2.24%,"628,817"
942,CWEN-A,"Clearway Energy, Inc.",Utilities,Utilities - Renewable,USA,5.85B,60.70,27.35,-0.98%,"36,455"
944,CWI,SPDR MSCI ACWI ex-US ETF,Financial,Exchange Traded Fund,USA,-,-,24.77,-0.96%,"11,574"
946,CWST,"Casella Waste Systems, Inc.",Industrials,Waste Management,USA,2.94B,86.08,61.09,-0.18%,"21,105"
948,CX,"CEMEX, S.A.B. de C.V.",Basic Materials,Building Materials,Mexico,6.07B,284.29,3.90,-2.08%,"475,588"
